region,date,age,num_tests,obs_positives
North_East_England,2020-07-13,"(25,50]",39,0
North_East_England,2020-07-13,"(50,70]",49,0
North_East_England,2020-07-13,"(70,Inf]",35,0
North_East_England,2020-07-14,"(0,11]",5,0
North_East_England,2020-07-14,"(11,16]",6,0
North_East_England,2020-07-14,"(16,25]",17,0
North_East_England,2020-07-14,"(25,50]",51,0
North_East_England,2020-07-14,"(50,70]",87,0
North_East_England,2020-07-14,"(70,Inf]",30,0
North_East_England,2020-07-15,"(0,11]",21,0
North_East_England,2020-07-15,"(11,16]",11,0
North_East_England,2020-07-15,"(16,25]",10,0
North_East_England,2020-07-15,"(25,50]",51,0
North_East_England,2020-07-15,"(50,70]",58,0
North_East_England,2020-07-15,"(70,Inf]",29,0
North_East_England,2020-07-16,"(0,11]",10,0
North_East_England,2020-07-16,"(11,16]",7,0
North_East_England,2020-07-16,"(16,25]",8,0
North_East_England,2020-07-16,"(25,50]",37,0
North_East_England,2020-07-16,"(50,70]",54,0
North_East_England,2020-07-16,"(70,Inf]",52,0
North_East_England,2020-07-17,"(0,11]",18,0
North_East_England,2020-07-17,"(11,16]",7,0
North_East_England,2020-07-17,"(16,25]",10,0
North_East_England,2020-07-17,"(25,50]",50,0
North_East_England,2020-07-17,"(50,70]",72,0
North_East_England,2020-07-17,"(70,Inf]",20,0
North_East_England,2020-07-18,"(0,11]",12,0
North_East_England,2020-07-18,"(11,16]",7,0
North_East_England,2020-07-18,"(16,25]",6,0
North_East_England,2020-07-18,"(25,50]",40,0
North_East_England,2020-07-18,"(50,70]",47,0
North_East_England,2020-07-18,"(70,Inf]",28,0
North_East_England,2020-07-19,"(0,11]",15,0
North_East_England,2020-07-19,"(11,16]",16,0
North_East_England,2020-07-19,"(16,25]",13,0
North_East_England,2020-07-19,"(25,50]",45,0
North_East_England,2020-07-19,"(50,70]",62,0
North_East_England,2020-07-19,"(70,Inf]",10,0
North_East_England,2020-07-20,"(0,11]",4,0
North_East_England,2020-07-20,"(11,16]",11,0
North_East_England,2020-07-20,"(16,25]",8,0
North_East_England,2020-07-20,"(25,50]",34,0
North_East_England,2020-07-20,"(50,70]",45,0
North_East_England,2020-07-20,"(70,Inf]",35,0
North_East_England,2020-07-21,"(0,11]",9,0
North_East_England,2020-07-21,"(11,16]",9,0
North_East_England,2020-07-21,"(16,25]",14,0
North_East_England,2020-07-21,"(25,50]",52,0
North_East_England,2020-07-21,"(50,70]",62,0
North_East_England,2020-07-21,"(70,Inf]",30,0
North_East_England,2020-07-22,"(0,11]",13,0
North_East_England,2020-07-22,"(11,16]",11,0
North_East_England,2020-07-22,"(16,25]",3,0
North_East_England,2020-07-22,"(25,50]",44,0
North_East_England,2020-07-22,"(50,70]",36,0
North_East_England,2020-07-22,"(70,Inf]",25,0
North_East_England,2020-07-23,"(0,11]",21,0
North_East_England,2020-07-23,"(11,16]",9,0
North_East_England,2020-07-23,"(16,25]",13,0
North_East_England,2020-07-23,"(25,50]",47,1
North_East_England,2020-07-23,"(50,70]",61,0
North_East_England,2020-07-23,"(70,Inf]",39,0
North_East_England,2020-07-24,"(0,11]",13,0
North_East_England,2020-07-24,"(11,16]",11,0
North_East_England,2020-07-24,"(16,25]",13,0
North_East_England,2020-07-24,"(25,50]",42,0
North_East_England,2020-07-24,"(50,70]",62,0
North_East_England,2020-07-24,"(70,Inf]",30,0
North_East_England,2020-07-25,"(0,11]",13,0
North_East_England,2020-07-25,"(11,16]",7,0
North_East_England,2020-07-25,"(16,25]",4,0
North_East_England,2020-07-25,"(25,50]",37,0
North_East_England,2020-07-25,"(50,70]",48,0
North_East_England,2020-07-25,"(70,Inf]",21,0
North_East_England,2020-07-26,"(0,11]",7,0
North_East_England,2020-07-26,"(11,16]",11,0
North_East_England,2020-07-26,"(16,25]",13,0
North_East_England,2020-07-26,"(25,50]",36,0
North_East_England,2020-07-26,"(50,70]",48,0
North_East_England,2020-07-26,"(70,Inf]",11,0
North_East_England,2020-07-27,"(0,11]",10,0
North_East_England,2020-07-27,"(11,16]",4,0
North_East_England,2020-07-27,"(16,25]",10,0
North_East_England,2020-07-27,"(25,50]",39,0
North_East_England,2020-07-27,"(50,70]",51,0
North_East_England,2020-07-27,"(70,Inf]",30,0
North_East_England,2020-07-28,"(0,11]",8,0
North_East_England,2020-07-28,"(11,16]",9,0
North_East_England,2020-07-28,"(16,25]",12,0
North_East_England,2020-07-28,"(25,50]",45,0
North_East_England,2020-07-28,"(50,70]",81,0
North_East_England,2020-07-28,"(70,Inf]",31,0
North_East_England,2020-07-29,"(0,11]",16,0
North_East_England,2020-07-29,"(11,16]",9,0
North_East_England,2020-07-29,"(16,25]",9,0
North_East_England,2020-07-29,"(25,50]",59,0
North_East_England,2020-07-29,"(50,70]",58,0
North_East_England,2020-07-29,"(70,Inf]",38,0
North_East_England,2020-07-30,"(0,11]",6,0
North_East_England,2020-07-30,"(11,16]",9,0
